,Release,Artist,Format,Tracks,Country/Date,Label,Catalog#,Barcode,Tagger,Country,Date,MB-Name,Comment
,"▶Greetings From Asbury Park, N.J. (version 1)",Bruce Springsteen,8-Track Cartridge,10,"{""events"":[{""date"":{""day"":null,""year"":1973,""month"":null},""country"":{""country_code"":""US"",""iso_3166_2_codes"":[],""typeID"":1,""entityType"":""area"",""gid"":""489ce91b-6658-3307-9877-795b68554c98"",""end_date"":null,""begin_date"":null,""iso_3166_3_codes"":[],""primary_code"":""US"",""comment"":"""",""name"":""United States"",""id"":222,""editsPending"":false,""ended"":false,""iso_3166_1_codes"":[""US""],""last_updated"":""2013-06-15T18:06:39Z""}}]}US1973","Columbia (owned by Sony Music Entertainment, worldwide except JP; formerly owned by CBS between 1938–1990 within US/CA/MX)",PCA 31903,[none],"{""entityType"":""release"",""gid"":""7cbd5e62-f0ca-4d18-9928-dd0febc9e418""}",United States (US),1973,"Greetings From Asbury Park, N.J.",version 1
,"▶Greetings From Asbury Park, N.J.",Bruce Springsteen,Cassette,9,"{""events"":[{""country"":{""ended"":false,""iso_3166_1_codes"":[""US""],""last_updated"":""2013-06-15T18:06:39Z"",""iso_3166_3_codes"":[],""id"":222,""name"":""United States"",""comment"":"""",""primary_code"":""US"",""editsPending"":false,""end_date"":null,""gid"":""489ce91b-6658-3307-9877-795b68554c98"",""begin_date"":null,""country_code"":""US"",""typeID"":1,""iso_3166_2_codes"":[],""entityType"":""area""},""date"":{""month"":null,""year"":1973,""day"":null}}]}US1973","Columbia (owned by Sony Music Entertainment, worldwide except JP; formerly owned by CBS between 1938–1990 within US/CA/MX)",JCT 31903,[none],"{""entityType"":""release"",""gid"":""027bbbe2-6237-4591-927a-69ad752340c3""}",United States (US),1973,"Greetings From Asbury Park, N.J.",
,"▶Greetings From Asbury Park, N.J.",Bruce Springsteen,Cassette,9,"{""events"":[{""country"":{""primary_code"":""US"",""comment"":"""",""id"":222,""name"":""United States"",""iso_3166_3_codes"":[],""editsPending"":false,""last_updated"":""2013-06-15T18:06:39Z"",""iso_3166_1_codes"":[""US""],""ended"":false,""typeID"":1,""iso_3166_2_codes"":[],""country_code"":""US"",""entityType"":""area"",""gid"":""489ce91b-6658-3307-9877-795b68554c98"",""end_date"":null,""begin_date"":null},""date"":{""day"":null,""month"":null,""year"":1973}}]}US1973","Columbia (owned by Sony Music Entertainment, worldwide except JP; formerly owned by CBS between 1938–1990 within US/CA/MX)",PCT 31903,[none],"{""entityType"":""release"",""gid"":""4c04bee0-32fd-4d33-89fe-aac8bccc696c""}",United States (US),1973,"Greetings From Asbury Park, N.J.",
,"▶Greetings From Asbury Park, N.J. (version 2)",Bruce Springsteen,8-Track Cartridge,10,"{""events"":[{""country"":{""ended"":false,""last_updated"":""2013-06-15T18:06:39Z"",""iso_3166_1_codes"":[""US""],""editsPending"":false,""iso_3166_3_codes"":[],""name"":""United States"",""id"":222,""comment"":"""",""primary_code"":""US"",""begin_date"":null,""end_date"":null,""gid"":""489ce91b-6658-3307-9877-795b68554c98"",""entityType"":""area"",""country_code"":""US"",""typeID"":1,""iso_3166_2_codes"":[]},""date"":{""day"":null,""year"":1973,""month"":null}}]}US1973","Columbia (owned by Sony Music Entertainment, worldwide except JP; formerly owned by CBS between 1938–1990 within US/CA/MX)",JCA 31903,[none],"{""entityType"":""release"",""gid"":""a2899954-d7f4-44bd-8d0c-9e1393b66e74""}",United States (US),1973,"Greetings From Asbury Park, N.J.",version 2
,"▶Greetings From Asbury Park, N.J. (Japan, 1st issue)",Bruce Springsteen,"12"" Vinyl",9,"{""events"":[{""country"":{""entityType"":""area"",""primaryAlias"":""Japan"",""iso_3166_2_codes"":[],""typeID"":1,""country_code"":""JP"",""begin_date"":null,""end_date"":null,""gid"":""2db42837-c832-3c27-b4a3-08198f75693c"",""editsPending"":false,""name"":""Japan"",""id"":107,""primary_code"":""JP"",""comment"":"""",""iso_3166_3_codes"":[],""last_updated"":""2013-05-27T12:29:56Z"",""iso_3166_1_codes"":[""JP""],""ended"":false},""date"":{""month"":7,""year"":1974,""day"":21}}]}JP1974-07-21","CBS/Sony (imprint used in Japan, South Korea and Southeast Asia 1968–1991; also used in Spain until 1997)",SOPL-248,[none],"{""entityType"":""release"",""gid"":""6c9fead5-3bc5-4d56-9258-a314bc6aa896""}",Japan (JP),1974-07-21,"Greetings From Asbury Park, N.J.","Japan, 1st issue"
,"▶Greetings From Asbury Park, N.J.",Bruce Springsteen,"12"" Vinyl",9,"{""events"":[{""date"":{""year"":1975,""month"":null,""day"":null},""country"":{""last_updated"":""2013-05-27T12:20:27Z"",""iso_3166_1_codes"":[""AU""],""ended"":false,""editsPending"":false,""id"":13,""name"":""Australia"",""primary_code"":""AU"",""comment"":"""",""iso_3166_3_codes"":[],""begin_date"":null,""end_date"":null,""gid"":""106e0bec-b638-3b37-b731-f53d507dc00e"",""entityType"":""area"",""primaryAlias"":""Australia"",""typeID"":1,""iso_3166_2_codes"":[],""country_code"":""AU""}}]}AU1975",CBS (CBS Records’ international imprint from 1962–1990; renamed since 1991 as Columbia),SBP 234758,[none],"{""entityType"":""release"",""gid"":""65d1f55f-5fbc-4bad-b210-8967c86f1754""}",Australia (AU),1975,"Greetings From Asbury Park, N.J.",
,"▶Greetings From Asbury Park, N.J.",Bruce Springsteen,"12"" Vinyl",9,"{""events"":[{""date"":{""month"":null,""year"":1975,""day"":null},""country"":{""editsPending"":false,""id"":84,""name"":""Greece"",""primary_code"":""GR"",""comment"":"""",""iso_3166_3_codes"":[],""iso_3166_1_codes"":[""GR""],""last_updated"":""2013-05-27T13:12:47Z"",""ended"":false,""entityType"":""area"",""primaryAlias"":""Greece"",""typeID"":1,""iso_3166_2_codes"":[],""country_code"":""GR"",""begin_date"":null,""end_date"":null,""gid"":""803db0ca-b6ed-3bbc-aeb8-f89efd0a2168""}}]}GR1975",CBS (CBS Records’ international imprint from 1962–1990; renamed since 1991 as Columbia),"CBS 65480, CBS S 65480",[none],"{""entityType"":""release"",""gid"":""e1798170-fb84-4501-9a92-0322d4cccbdc""}",Greece (GR),1975,"Greetings From Asbury Park, N.J.",
,"▶Greetings From Asbury Park, N.J.",Bruce Springsteen,Cassette,9,"{""events"":[{""country"":{""last_updated"":""2013-05-27T13:29:59Z"",""iso_3166_1_codes"":[""ID""],""ended"":false,""editsPending"":false,""primary_code"":""ID"",""comment"":"""",""id"":100,""name"":""Indonesia"",""iso_3166_3_codes"":[],""begin_date"":null,""gid"":""d3a68bd0-7419-3f99-a5bd-204d6e057089"",""end_date"":null,""primaryAlias"":""Indonesia"",""entityType"":""area"",""iso_3166_2_codes"":[],""typeID"":1,""country_code"":""ID""},""date"":{""year"":1975,""month"":null,""day"":null}}]}ID1975",CBS (CBS Records’ international imprint from 1962–1990; renamed since 1991 as Columbia),"C- 0710888, PCT 39103",[none],"{""entityType"":""release"",""gid"":""1e9396ac-421c-4e02-9e96-ff436a6c1381""}",Indonesia (ID),1975,"Greetings From Asbury Park, N.J.",
,"▶Greetings From Asbury Park, N.J.",Bruce Springsteen,"12"" Vinyl",9,"{""events"":[{""date"":{""month"":null,""year"":1975,""day"":null},""country"":{""iso_3166_3_codes"":[],""comment"":"""",""primary_code"":""IL"",""id"":104,""name"":""Israel"",""editsPending"":false,""ended"":false,""iso_3166_1_codes"":[""IL""],""last_updated"":""2013-05-27T13:24:01Z"",""country_code"":""IL"",""iso_3166_2_codes"":[],""typeID"":1,""primaryAlias"":""Israel"",""entityType"":""area"",""gid"":""03691455-bb46-37e3-91d2-cb064a35ffcc"",""end_date"":null,""begin_date"":null}}]}IL1975",CBS (CBS Records’ international imprint from 1962–1990; renamed since 1991 as Columbia),CBS 32210,[none],"{""entityType"":""release"",""gid"":""c7618cf6-805b-4c21-b73f-388d3622588c""}",Israel (IL),1975,"Greetings From Asbury Park, N.J.",
,"▶Greetings From Asbury Park, N.J. (Japan, 2nd issue)",Bruce Springsteen,"12"" Vinyl",9,"{""events"":[{""date"":{""day"":null,""month"":null,""year"":1975},""country"":{""country_code"":""JP"",""iso_3166_2_codes"":[],""typeID"":1,""primaryAlias"":""Japan"",""entityType"":""area"",""gid"":""2db42837-c832-3c27-b4a3-08198f75693c"",""end_date"":null,""begin_date"":null,""iso_3166_3_codes"":[],""primary_code"":""JP"",""comment"":"""",""name"":""Japan"",""id"":107,""editsPending"":false,""ended"":false,""iso_3166_1_codes"":[""JP""],""last_updated"":""2013-05-27T12:29:56Z""}}]}JP1975","CBS/Sony (imprint used in Japan, South Korea and Southeast Asia 1968–1991; also used in Spain until 1997)",SOPO-124,[none],"{""entityType"":""release"",""gid"":""679691c5-bdd5-4472-abc2-630334fd53c2""}",Japan (JP),1975,"Greetings From Asbury Park, N.J.","Japan, 2nd issue"
